id,title,year,description,rating,ranking,review,img_url
550,Fight Club,1999-10-15,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",8.436,80.29,26897,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
1115239,Por Thozhil,2023-06-09,"Loganathan, a senior cop is asked to mentor Prakash, an academically bright but faint-hearted and needs to overcome his fears in order to succeed.  The unlikely duo, team up to investigate a series of murder cases, and realize all of them are interlinked and that a psychopath serial killer is on the run. Can they get hold of him before it's too late?",8.1,3.756,5,/lZ2BbjGBDRW5Q5Q9jgEknuiEQ0f.jpg
